[2025-03-06 14:17:19,257][inference.model_runners][INFO] - Reading checkpoint from RFDiffusionAA_paper_weights.pt
[2025-03-06 14:17:45,438][inference.model_runners][INFO] - Loading checkpoint.
[2025-03-06 14:17:45,810][diffusion][INFO] - No IGSO3 cache found at /home/freitas/workspace/Ribbon-Containers/containers/RFDiffusionAA/25.3.2/rf_diffusion_all_atom/cached_schedules/T_200_omega_1000_min_sigma_0_02_min_b_1_5_max_b_2_5_schedule_linear.pkl.
[2025-03-06 14:17:45,810][diffusion][INFO] - Calculating IGSO3.
[2025-03-06 14:18:55,956][__main__][INFO] - Making design samples/design_0
[2025-03-06 14:18:55,956][__main__][INFO] - making design 0 of 0:1
[2025-03-06 14:18:55,956][inference.model_runners][INFO] - Using contig: ['150-150']
[2025-03-06 14:21:56,718][inference.model_runners][INFO] - 14:21:56: Timestep 138, current sequence: ????????????????????????????????????????GG????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:21:58,486][inference.model_runners][INFO] - 14:21:58: Timestep 137, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:22:00,285][inference.model_runners][INFO] - 14:22:00: Timestep 136, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:22:02,049][inference.model_runners][INFO] - 14:22:02: Timestep 135, current sequence: ????????????????????????????????????????E?????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:22:03,814][inference.model_runners][INFO] - 14:22:03: Timestep 134, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:22:05,599][inference.model_runners][INFO] - 14:22:05: Timestep 133, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:22:07,336][inference.model_runners][INFO] - 14:22:07: Timestep 132, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:22:09,080][inference.model_runners][INFO] - 14:22:09: Timestep 131, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:22:10,841][inference.model_runners][INFO] - 14:22:10: Timestep 130, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:22:12,619][inference.model_runners][INFO] - 14:22:12: Timestep 129, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:22:14,380][inference.model_runners][INFO] - 14:22:14: Timestep 128, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:22:16,146][inference.model_runners][INFO] - 14:22:16: Timestep 127, current sequence: ????????????????????????????????????????E?????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:22:17,944][inference.model_runners][INFO] - 14:22:17: Timestep 126, current sequence: ????????????????????????????????????????GG????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:22:19,683][inference.model_runners][INFO] - 14:22:19: Timestep 125, current sequence: ????????????????????????????????????????G?????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:22:21,447][inference.model_runners][INFO] - 14:22:21: Timestep 124, current sequence: ????????????????????????????????????????GG????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:22:23,207][inference.model_runners][INFO] - 14:22:23: Timestep 123, current sequence: ??????????????????????????????????????G?G?????????L???????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:22:24,892][inference.model_runners][INFO] - 14:22:24: Timestep 122, current sequence: ??????????????????????????????????????GGG?????????L???????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:22:26,525][inference.model_runners][INFO] - 14:22:26: Timestep 121, current sequence: ??????????????????????????????????????GGG?????????L???????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:22:28,266][inference.model_runners][INFO] - 14:22:28: Timestep 120, current sequence: ??????????????????????????????????????GGG?????????L???????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:22:30,051][inference.model_runners][INFO] - 14:22:30: Timestep 119, current sequence: ??????????????????????????????????????SGG?????????L??????L?????????????????????Q?????????????????????????????????????????????????????????????????Q????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2025-03-06 14:22:31,832][inference.model_runners][INFO] - 14:22:31: Timestep 118, current sequence: ??????????????????????????????????????SAE?????????L??????L???????????????????????????????????????????????????????????????????????????????????????Q????aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
